LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,JST1,JST2,JST3,JST4,JST5,JST6,JST7,JST8,VODUM1,VODUM2,VODUM3,VODUM4,VODUM5,VODUM6,VODUM7,VODUM8,LAM1,LAM2,LAM3,LAM4,LAM5,LAM6,LAM7,LAM8,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDF7,TFIDF8,Q17_1,Q17_2,Q17_3,feedback,age,gender,stance,topic_knowledge,RecordedDate,TAM1,TAM2,TAM3,TAM4,TAM5,TAM6,TAM7,TAM8,model,honeypot_all,honeypot_one
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,Strongly agree,Strongly agree,Strongly disagree,,29,Male,Neither agree nor disagree,Neither agree nor disagree,2020-05-08 09:50:22,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",14 Women should not be able to use abortion as a form of contraception.,4 Fetuses are incapable of feeling pain when most abortions are performed.,"11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,Somewhat agree,Strongly agree,Somewhat disagree,,31,Male,Somewhat agree,Somewhat agree,2020-05-08 09:50:23,,,,,,,,,TFIDF,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,23,Female,Strongly disagree,Somewhat agree,2020-05-08 09:50:26,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,12 Abortions reduce the number of adoptable babies.,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,56,Female,Neither agree nor disagree,Somewhat disagree,2020-05-08 09:50:56,,,,,,,,,TFIDF,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,Somewhat disagree,Somewhat disagree,Somewhat disagree,,41,Female,Neither agree nor disagree,Neither agree nor disagree,2020-05-08 09:51:08,,,,,,,,,TFIDF,False,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",14 Women should not be able to use abortion as a form of contraception.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,20,Male,Strongly agree,Neither agree nor disagree,2020-05-08 09:51:21,,,,,,,,,VODUM,False,True
,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,44,Male,Strongly agree,Somewhat agree,2020-05-08 09:51:59,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,14 Women should not be able to use abortion as a form of contraception.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,32,Female,Strongly agree,Somewhat agree,2020-05-08 09:52:40,,,,,,,,,LDA,False,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,None,39,Male,Strongly disagree,Strongly agree,2020-05-08 09:52:44,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,,26,Female,Strongly agree,Somewhat agree,2020-05-08 09:52:53,,,,,,,,,VODUM,True,True
8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,18,Male,Somewhat disagree,Somewhat agree,2020-05-08 09:52:55,,,,,,,,,LDA,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,4 Fetuses are incapable of feeling pain when most abortions are performed.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",2 Reproductive choice empowers women by giving them control over their own bodies.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,none,80,Male,Neither agree nor disagree,Somewhat disagree,2020-05-08 09:53:14,,,,,,,,,JST,False,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,Some were very confusing to differentiate ,32,Female,Somewhat agree,Somewhat agree,2020-05-08 09:53:14,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,4 Fetuses are incapable of feeling pain when most abortions are performed.,"11 Abortion is the killing of a human being, which defies the word of God.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little more context could make this simpler but pretty easy to understand for the most part,19,Male,Strongly agree,Somewhat agree,2020-05-08 09:53:56,,,,,,,,,LAM,True,True
8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,4 Fetuses are incapable of feeling pain when most abortions are performed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,That was tricky!,41,Female,Somewhat disagree,Somewhat agree,2020-05-08 09:54:02,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,Somewhat agree,Strongly agree,Neither agree nor disagree,,19,Female,Strongly agree,Somewhat agree,2020-05-08 09:54:15,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,4 Fetuses are incapable of feeling pain when most abortions are performed.,"11 Abortion is the killing of a human being, which defies the word of God.","15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,Somewhat agree,Somewhat agree,Somewhat agree,,21,Female,Neither agree nor disagree,Somewhat agree,2020-05-08 09:54:27,,,,,,,,,TFIDF,False,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,7 A baby should not come into the world unwanted.,,,,,,,,,Strongly agree,Strongly agree,Somewhat disagree,involves lots of deep thinking,63,Male,Strongly disagree,Strongly agree,2020-05-08 09:56:08,,,,,,,,,LAM,False,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat disagree,,20,Male,Strongly disagree,Somewhat agree,2020-05-08 09:56:33,,,,,,,,,VODUM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,,28,Male,Somewhat disagree,Somewhat agree,2020-05-08 09:57:17,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,18,Male,Strongly disagree,Strongly agree,2020-05-08 09:57:22,,,,,,,,,VODUM,False,True
,,,,,,,,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,9 Abortion is murder because unborn babies are human beings with a right to life.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,4 Fetuses are incapable of feeling pain when most abortions are performed.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,,41,Female,Strongly disagree,Neither agree nor disagree,2020-05-08 09:58:27,,,,,,,,,JST,False,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,2 Reproductive choice empowers women by giving them control over their own bodies.,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,,54,Female,Somewhat agree,Neither agree nor disagree,2020-05-08 09:58:55,,,,,,,,,LAM,False,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,The similarities in the word groups was really difficult to select a viewpoint,32,Male,Somewhat disagree,Strongly agree,2020-05-08 10:00:39,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",14 Women should not be able to use abortion as a form of contraception.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,2 Reproductive choice empowers women by giving them control over their own bodies.,12 Abortions reduce the number of adoptable babies.,7 A baby should not come into the world unwanted.,Somewhat agree,Somewhat agree,Somewhat disagree,,26,Female,Strongly agree,Neither agree nor disagree,2020-05-08 10:01:45,,,,,,,,,TFIDF,False,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,38,Male,Neither agree nor disagree,Somewhat agree,2020-05-08 10:03:53,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,14 Women should not be able to use abortion as a form of contraception.,"11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly disagree,Struggled to understand task,36,Male,Neither agree nor disagree,Neither agree nor disagree,2020-05-08 10:04:27,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,12 Abortions reduce the number of adoptable babies.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,,35,Female,Neither agree nor disagree,Strongly agree,2020-05-08 10:06:39,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,,54,Male,Somewhat disagree,Somewhat agree,2020-05-08 10:17:41,,,,,,,,,VODUM,True,True
8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,,24,Female,Somewhat disagree,Somewhat agree,2020-05-08 10:39:55,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",14 Women should not be able to use abortion as a form of contraception.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,30,Male,Strongly disagree,Neither agree nor disagree,2020-05-08 10:41:35,,,,,,,,,TFIDF,True,True
